date,team,elo,elo_off,elo_def,played_match_today
1872-11-30,Spain,1500.0,1500.0,1500.0,False
1873-03-08,Spain,1500.0,1500.0,1500.0,False
1874-03-07,Spain,1500.0,1500.0,1500.0,False
1875-03-06,Spain,1500.0,1500.0,1500.0,False
1876-03-04,Spain,1500.0,1500.0,1500.0,False
1876-03-25,Spain,1500.0,1500.0,1500.0,False
1877-03-03,Spain,1500.0,1500.0,1500.0,False
1877-03-05,Spain,1500.0,1500.0,1500.0,False
1878-03-02,Spain,1500.0,1500.0,1500.0,False
1878-03-23,Spain,1500.0,1500.0,1500.0,False
1879-01-18,Spain,1500.0,1500.0,1500.0,False
1879-04-05,Spain,1500.0,1500.0,1500.0,False
1879-04-07,Spain,1500.0,1500.0,1500.0,False
1880-03-13,Spain,1500.0,1500.0,1500.0,False
1880-03-15,Spain,1500.0,1500.0,1500.0,False
1880-03-27,Spain,1500.0,1500.0,1500.0,False
1881-02-26,Spain,1500.0,1500.0,1500.0,False
1881-03-12,Spain,1500.0,1500.0,1500.0,False
1881-03-14,Spain,1500.0,1500.0,1500.0,False
1882-02-18,Spain,1500.0,1500.0,1500.0,False
1882-02-25,Spain,1500.0,1500.0,1500.0,False
1882-03-11,Spain,1500.0,1500.0,1500.0,False
1882-03-13,Spain,1500.0,1500.0,1500.0,False
1882-03-25,Spain,1500.0,1500.0,1500.0,False
1883-02-03,Spain,1500.0,1500.0,1500.0,False
1883-02-24,Spain,1500.0,1500.0,1500.0,False
1883-03-10,Spain,1500.0,1500.0,1500.0,False
1883-03-12,Spain,1500.0,1500.0,1500.0,False
1883-03-17,Spain,1500.0,1500.0,1500.0,False
1884-01-26,Spain,1500.0,1500.0,1500.0,False
1884-02-09,Spain,1500.0,1500.0,1500.0,False
1884-02-23,Spain,1500.0,1500.0,1500.0,False
1884-03-15,Spain,1500.0,1500.0,1500.0,False
1884-03-17,Spain,1500.0,1500.0,1500.0,False
1884-03-29,Spain,1500.0,1500.0,1500.0,False
1885-02-28,Spain,1500.0,1500.0,1500.0,False
1885-03-14,Spain,1500.0,1500.0,1500.0,False
1885-03-21,Spain,1500.0,1500.0,1500.0,False
1885-03-23,Spain,1500.0,1500.0,1500.0,False
1885-04-11,Spain,1500.0,1500.0,1500.0,False
1885-11-28,Spain,1500.0,1500.0,1500.0,False
1886-02-27,Spain,1500.0,1500.0,1500.0,False
1886-03-13,Spain,1500.0,1500.0,1500.0,False
1886-03-20,Spain,1500.0,1500.0,1500.0,False
1886-03-27,Spain,1500.0,1500.0,1500.0,False
1886-03-29,Spain,1500.0,1500.0,1500.0,False
1886-04-10,Spain,1500.0,1500.0,1500.0,False
1886-11-25,Spain,1500.0,1500.0,1500.0,False
1887-02-05,Spain,1500.0,1500.0,1500.0,False
1887-02-19,Spain,1500.0,1500.0,1500.0,False
1887-02-26,Spain,1500.0,1500.0,1500.0,False
1887-03-12,Spain,1500.0,1500.0,1500.0,False
1887-03-19,Spain,1500.0,1500.0,1500.0,False
1887-03-21,Spain,1500.0,1500.0,1500.0,False
1888-02-04,Spain,1500.0,1500.0,1500.0,False
1888-03-03,Spain,1500.0,1500.0,1500.0,False
1888-03-10,Spain,1500.0,1500.0,1500.0,False
1888-03-17,Spain,1500.0,1500.0,1500.0,False
1888-03-24,Spain,1500.0,1500.0,1500.0,False
1888-04-07,Spain,1500.0,1500.0,1500.0,False
1888-09-19,Spain,1500.0,1500.0,1500.0,False
1889-02-23,Spain,1500.0,1500.0,1500.0,False
1889-03-02,Spain,1500.0,1500.0,1500.0,False
1889-03-09,Spain,1500.0,1500.0,1500.0,False
1889-04-13,Spain,1500.0,1500.0,1500.0,False
1889-04-15,Spain,1500.0,1500.0,1500.0,False
1889-04-27,Spain,1500.0,1500.0,1500.0,False
1890-02-08,Spain,1500.0,1500.0,1500.0,False
1890-03-15,Spain,1500.0,1500.0,1500.0,False
1890-03-22,Spain,1500.0,1500.0,1500.0,False
1890-03-29,Spain,1500.0,1500.0,1500.0,False
1890-04-05,Spain,1500.0,1500.0,1500.0,False
1891-02-07,Spain,1500.0,1500.0,1500.0,False
1891-03-07,Spain,1500.0,1500.0,1500.0,False
1891-03-21,Spain,1500.0,1500.0,1500.0,False
1891-03-28,Spain,1500.0,1500.0,1500.0,False
1891-04-04,Spain,1500.0,1500.0,1500.0,False
1892-02-27,Spain,1500.0,1500.0,1500.0,False
1892-03-05,Spain,1500.0,1500.0,1500.0,False
1892-03-19,Spain,1500.0,1500.0,1500.0,False
1892-03-26,Spain,1500.0,1500.0,1500.0,False
1892-04-02,Spain,1500.0,1500.0,1500.0,False
1893-02-25,Spain,1500.0,1500.0,1500.0,False
1893-03-13,Spain,1500.0,1500.0,1500.0,False
1893-03-18,Spain,1500.0,1500.0,1500.0,False
1893-03-25,Spain,1500.0,1500.0,1500.0,False
1893-04-01,Spain,1500.0,1500.0,1500.0,False
1894-02-24,Spain,1500.0,1500.0,1500.0,False
1894-03-03,Spain,1500.0,1500.0,1500.0,False
1894-03-12,Spain,1500.0,1500.0,1500.0,False
1894-03-24,Spain,1500.0,1500.0,1500.0,False
1894-03-31,Spain,1500.0,1500.0,1500.0,False
1894-04-07,Spain,1500.0,1500.0,1500.0,False
1895-03-09,Spain,1500.0,1500.0,1500.0,False
1895-03-16,Spain,1500.0,1500.0,1500.0,False
1895-03-18,Spain,1500.0,1500.0,1500.0,False
1895-03-23,Spain,1500.0,1500.0,1500.0,False
1895-03-30,Spain,1500.0,1500.0,1500.0,False
1895-04-06,Spain,1500.0,1500.0,1500.0,False
1896-02-29,Spain,1500.0,1500.0,1500.0,False
1896-03-07,Spain,1500.0,1500.0,1500.0,False
1896-03-16,Spain,1500.0,1500.0,1500.0,False
1896-03-21,Spain,1500.0,1500.0,1500.0,False
1896-03-28,Spain,1500.0,1500.0,1500.0,False
1896-04-04,Spain,1500.0,1500.0,1500.0,False
1897-02-20,Spain,1500.0,1500.0,1500.0,False
1897-03-06,Spain,1500.0,1500.0,1500.0,False
1897-03-20,Spain,1500.0,1500.0,1500.0,False
1897-03-27,Spain,1500.0,1500.0,1500.0,False
1897-03-29,Spain,1500.0,1500.0,1500.0,False
1897-04-03,Spain,1500.0,1500.0,1500.0,False
1898-02-19,Spain,1500.0,1500.0,1500.0,False
1898-03-05,Spain,1500.0,1500.0,1500.0,False
1898-03-19,Spain,1500.0,1500.0,1500.0,False
1898-03-26,Spain,1500.0,1500.0,1500.0,False
1898-03-28,Spain,1500.0,1500.0,1500.0,False
1898-04-02,Spain,1500.0,1500.0,1500.0,False
1899-02-18,Spain,1500.0,1500.0,1500.0,False
1899-03-04,Spain,1500.0,1500.0,1500.0,False
1899-03-18,Spain,1500.0,1500.0,1500.0,False
1899-03-20,Spain,1500.0,1500.0,1500.0,False
1899-03-25,Spain,1500.0,1500.0,1500.0,False
1899-04-08,Spain,1500.0,1500.0,1500.0,False
1900-02-03,Spain,1500.0,1500.0,1500.0,False
1900-02-24,Spain,1500.0,1500.0,1500.0,False
1900-03-03,Spain,1500.0,1500.0,1500.0,False
1900-03-17,Spain,1500.0,1500.0,1500.0,False
1900-03-26,Spain,1500.0,1500.0,1500.0,False
1900-04-07,Spain,1500.0,1500.0,1500.0,False
1901-02-23,Spain,1500.0,1500.0,1500.0,False
1901-03-02,Spain,1500.0,1500.0,1500.0,False
1901-03-09,Spain,1500.0,1500.0,1500.0,False
1901-03-18,Spain,1500.0,1500.0,1500.0,False
1901-03-23,Spain,1500.0,1500.0,1500.0,False
1901-03-30,Spain,1500.0,1500.0,1500.0,False
1902-02-22,Spain,1500.0,1500.0,1500.0,False
1902-03-01,Spain,1500.0,1500.0,1500.0,False
1902-03-03,Spain,1500.0,1500.0,1500.0,False
1902-03-15,Spain,1500.0,1500.0,1500.0,False
1902-03-22,Spain,1500.0,1500.0,1500.0,False
1902-05-03,Spain,1500.0,1500.0,1500.0,False
1902-07-20,Spain,1500.0,1500.0,1500.0,False
1902-10-12,Spain,1500.0,1500.0,1500.0,False
1903-02-14,Spain,1500.0,1500.0,1500.0,False
1903-03-02,Spain,1500.0,1500.0,1500.0,False
1903-03-09,Spain,1500.0,1500.0,1500.0,False
1903-03-21,Spain,1500.0,1500.0,1500.0,False
1903-03-28,Spain,1500.0,1500.0,1500.0,False
1903-04-04,Spain,1500.0,1500.0,1500.0,False
1903-04-05,Spain,1500.0,1500.0,1500.0,False
1903-06-11,Spain,1500.0,1500.0,1500.0,False
1903-09-13,Spain,1500.0,1500.0,1500.0,False
1903-10-11,Spain,1500.0,1500.0,1500.0,False
1904-02-29,Spain,1500.0,1500.0,1500.0,False
1904-03-12,Spain,1500.0,1500.0,1500.0,False
1904-03-21,Spain,1500.0,1500.0,1500.0,False
1904-03-26,Spain,1500.0,1500.0,1500.0,False
1904-04-09,Spain,1500.0,1500.0,1500.0,False
1904-05-01,Spain,1500.0,1500.0,1500.0,False
1904-06-02,Spain,1500.0,1500.0,1500.0,False
1904-10-09,Spain,1500.0,1500.0,1500.0,False
1905-02-12,Spain,1500.0,1500.0,1500.0,False
1905-02-25,Spain,1500.0,1500.0,1500.0,False
1905-03-06,Spain,1500.0,1500.0,1500.0,False
1905-03-18,Spain,1500.0,1500.0,1500.0,False
1905-03-27,Spain,1500.0,1500.0,1500.0,False
1905-04-01,Spain,1500.0,1500.0,1500.0,False
1905-04-08,Spain,1500.0,1500.0,1500.0,False
1905-04-09,Spain,1500.0,1500.0,1500.0,False
1905-04-17,Spain,1500.0,1500.0,1500.0,False
1905-04-27,Spain,1500.0,1500.0,1500.0,False
1905-04-30,Spain,1500.0,1500.0,1500.0,False
1905-05-07,Spain,1500.0,1500.0,1500.0,False
1905-05-14,Spain,1500.0,1500.0,1500.0,False
1905-07-21,Spain,1500.0,1500.0,1500.0,False
1905-08-15,Spain,1500.0,1500.0,1500.0,False
1906-02-17,Spain,1500.0,1500.0,1500.0,False
1906-03-03,Spain,1500.0,1500.0,1500.0,False
1906-03-17,Spain,1500.0,1500.0,1500.0,False
1906-03-19,Spain,1500.0,1500.0,1500.0,False
1906-03-29,Spain,1500.0,1500.0,1500.0,False
1906-04-01,Spain,1500.0,1500.0,1500.0,False
1906-04-02,Spain,1500.0,1500.0,1500.0,False
1906-04-07,Spain,1500.0,1500.0,1500.0,False
1906-04-22,Spain,1500.0,1500.0,1500.0,False
1906-04-29,Spain,1500.0,1500.0,1500.0,False
1906-05-13,Spain,1500.0,1500.0,1500.0,False
1906-07-09,Spain,1500.0,1500.0,1500.0,False
1906-08-15,Spain,1500.0,1500.0,1500.0,False
1906-10-07,Spain,1500.0,1500.0,1500.0,False
1906-10-21,Spain,1500.0,1500.0,1500.0,False
1906-11-04,Spain,1500.0,1500.0,1500.0,False
1907-02-16,Spain,1500.0,1500.0,1500.0,False
1907-02-23,Spain,1500.0,1500.0,1500.0,False
1907-03-04,Spain,1500.0,1500.0,1500.0,False
1907-03-16,Spain,1500.0,1500.0,1500.0,False
1907-03-18,Spain,1500.0,1500.0,1500.0,False
1907-03-21,Spain,1500.0,1500.0,1500.0,False
1907-04-04,Spain,1500.0,1500.0,1500.0,False
1907-04-06,Spain,1500.0,1500.0,1500.0,False
1907-04-07,Spain,1500.0,1500.0,1500.0,False
1907-04-14,Spain,1500.0,1500.0,1500.0,False
1907-04-21,Spain,1500.0,1500.0,1500.0,False
1907-05-05,Spain,1500.0,1500.0,1500.0,False
1907-05-09,Spain,1500.0,1500.0,1500.0,False
1907-10-06,Spain,1500.0,1500.0,1500.0,False
