date,team,elo,elo_off,elo_def,played_match_today
1991-05-05,Netherlands,2490.735535865869,1801.7915177127813,1988.1489964667785,False
1991-05-06,Netherlands,2490.735535865869,1801.7915177127813,1988.1489964667785,False
1991-05-07,Netherlands,2490.735535865869,1801.7915177127813,1988.1489964667785,False
1991-05-08,Netherlands,2490.735535865869,1801.7915177127813,1988.1489964667785,False
1991-05-10,Netherlands,2490.735535865869,1801.7915177127813,1988.1489964667785,False
1991-05-12,Netherlands,2490.735535865869,1801.7915177127813,1988.1489964667785,False
1991-05-14,Netherlands,2490.735535865869,1801.7915177127813,1988.1489964667785,False
1991-05-15,Netherlands,2490.735535865869,1801.7915177127813,1988.1489964667785,False
1991-05-16,Netherlands,2490.735535865869,1801.7915177127813,1988.1489964667785,False
1991-05-17,Netherlands,2490.735535865869,1801.7915177127813,1988.1489964667785,False
1991-05-18,Netherlands,2490.735535865869,1801.7915177127813,1988.1489964667785,False
1991-05-19,Netherlands,2490.735535865869,1801.7915177127813,1988.1489964667785,False
1991-05-21,Netherlands,2490.735535865869,1801.7915177127813,1988.1489964667785,False
1991-05-22,Netherlands,2490.735535865869,1801.7915177127813,1988.1489964667785,False
1991-05-23,Netherlands,2490.735535865869,1801.7915177127813,1988.1489964667785,False
1991-05-24,Netherlands,2490.735535865869,1801.7915177127813,1988.1489964667785,False
1991-05-25,Netherlands,2490.735535865869,1801.7915177127813,1988.1489964667785,False
1991-05-26,Netherlands,2490.735535865869,1801.7915177127813,1988.1489964667785,False
1991-05-27,Netherlands,2490.735535865869,1801.7915177127813,1988.1489964667785,False
1991-05-28,Netherlands,2490.735535865869,1801.7915177127813,1988.1489964667785,False
1991-05-29,Netherlands,2490.735535865869,1801.7915177127813,1988.1489964667785,False
1991-05-30,Netherlands,2490.735535865869,1801.7915177127813,1988.1489964667785,False
1991-06-01,Netherlands,2490.735535865869,1801.7915177127813,1988.1489964667785,False
1991-06-02,Netherlands,2490.735535865869,1801.7915177127813,1988.1489964667785,False
1991-06-03,Netherlands,2490.735535865869,1801.7915177127813,1988.1489964667785,False
1991-06-05,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,True
1991-06-06,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-06-07,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-06-08,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-06-09,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-06-11,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-06-12,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-06-13,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-06-14,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-06-15,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-06-16,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-06-19,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-06-20,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-06-22,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-06-24,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-06-25,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-06-26,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-06-27,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-06-28,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-06-29,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-06-30,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-07-01,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-07-02,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-07-03,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-07-05,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-07-06,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-07-07,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-07-08,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-07-09,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-07-10,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-07-11,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-07-12,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-07-13,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-07-14,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-07-15,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-07-17,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-07-19,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-07-21,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-07-24,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-07-26,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-07-27,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-07-28,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-07-29,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-08-08,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-08-11,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-08-14,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-08-19,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-08-20,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
1991-08-21,Netherlands,2499.080664218082,1797.4511106603743,1995.9375684361116,False
