date,team,elo,elo_10th,norm_elo,elo_off,elo_def,off_10th,def_10th,norm_off,norm_def,played_match_today
1981-04-21,Spain,2189.698859595826,2356.552330223256,0.9291959408295327,1685.4238289348993,1881.0384835722448,1841.9790218014352,1859.0967707725674,0.9150070706487056,1.011802351090395,False
1981-04-22,Spain,2189.698859595826,2356.552330223256,0.9291959408295327,1685.4238289348993,1881.0384835722448,1841.9790218014352,1859.0967707725674,0.9150070706487056,1.011802351090395,False
1981-04-24,Spain,2189.698859595826,2356.552330223256,0.9291959408295327,1685.4238289348993,1881.0384835722448,1841.9790218014352,1859.0967707725674,0.9150070706487056,1.011802351090395,False
1981-04-25,Spain,2189.698859595826,2356.552330223256,0.9291959408295327,1685.4238289348993,1881.0384835722448,1841.9790218014352,1859.0967707725674,0.9150070706487056,1.011802351090395,False
1981-04-26,Spain,2189.698859595826,2356.552330223256,0.9291959408295327,1685.4238289348993,1881.0384835722448,1841.9790218014352,1859.0967707725674,0.9150070706487056,1.011802351090395,False
1981-04-27,Spain,2189.698859595826,2356.552330223256,0.9291959408295327,1685.4238289348993,1881.0384835722448,1841.9790218014352,1859.0967707725674,0.9150070706487056,1.011802351090395,False
1981-04-28,Spain,2189.698859595826,2356.552330223256,0.9291959408295327,1685.4238289348993,1881.0384835722448,1841.9790218014352,1859.0967707725674,0.9150070706487056,1.011802351090395,False
1981-04-29,Spain,2189.698859595826,2356.552330223256,0.9291959408295327,1685.4238289348993,1881.0384835722448,1834.040267036607,1862.7955848331862,0.918967734366139,1.0097932907333427,False
1981-05-01,Spain,2189.698859595826,2356.552330223256,0.9291959408295327,1685.4238289348993,1881.0384835722448,1834.040267036607,1862.7955848331862,0.918967734366139,1.0097932907333427,False
1981-05-02,Spain,2189.698859595826,2356.552330223256,0.9291959408295327,1685.4238289348993,1881.0384835722448,1834.040267036607,1862.7955848331862,0.918967734366139,1.0097932907333427,False
1981-05-03,Spain,2189.698859595826,2356.552330223256,0.9291959408295327,1685.4238289348993,1881.0384835722448,1834.040267036607,1862.7955848331862,0.918967734366139,1.0097932907333427,False
1981-05-04,Spain,2189.698859595826,2356.552330223256,0.9291959408295327,1685.4238289348993,1881.0384835722448,1834.040267036607,1862.7955848331862,0.918967734366139,1.0097932907333427,False
1981-05-06,Spain,2189.698859595826,2356.552330223256,0.9291959408295327,1685.4238289348993,1881.0384835722448,1834.040267036607,1862.7955848331862,0.918967734366139,1.0097932907333427,False
